Publication #,Year,Serial #,News Outlet,Print/Digital,Type,URL,Paper Cut Out,Thumbnail #
1,2021,1,Ei Samay,Print,News Article,NA,#01,#01
2,2021,2,News 18 Bangla,Digital,Live TV Interview,https://www.facebook.com/durgaville/videos/293077005963910,NA,Take appropriate screenshot from URL
3,2021,3,ABP Ananda,Digital,News Coverage on TV,https://www.youtube.com/watch?v=Sb26mHI9F28,NA,#03
4,2021,4,Bharat In Germany,Digital,Video Log,https://www.youtube.com/watch?v=iuVvFQ2RR68,NA,#04
5,2021,5,Anandabazar Patrika,Digital,News Article,https://www.anandabazar.com/ananda-utsav/beyond-bengal/durga-puja-2021-citizen-of-erlangen-in-germany-shares-pujo-celebration-story-dgtl/cid/1308421?fbclid=IwY2xjawMYo59leHRuA2FlbQIxMQABHqaAcX-YrYWwF7UWKdOV87GFRgxoczeGNSdpgtC3psSa6YDz7Kxcoze7P_yX_aem_-bz_zBkYLprczZEMclaH6Q,NA,#05
6,2021,6,ABP Ananda,Digital,Pujo Coverage on TV,https://fb.watch/8CPt9XXHnJ/,NA,Take appropriate screenshot from URL
7,2021,7,ABP Ananda,Digital,Pujo Coverage on TV,https://www.facebook.com/abpananda/videos/4731524533538321,NA,Take appropriate screenshot from URL
8,2021,8,Sangbad Protidin,Print + Digital,News Article,https://epaper.sangbadpratidin.in/epaper/m/564328/6167551dce0d7?fbclid=IwY2xjawMYksBleHRuA2FlbQIxMQABHgIPvDxIZhNlHnxZrRBF1CPfXYYRoU9ONbcw7nFqcJcCoXCxejnGpT7KC3pE_aem_T2tyIMFuODRkCFOI2QY4Kg,#08,#08
9,2021,9,ABP Ananda,Digital,Pujo Coverage on TV,https://www.facebook.com/abpananda/videos/408579787611687,NA,Take appropriate screenshot from URL
10,2022,1,Zee News 24 Ghonta,Digital,News Article,https://zeenews.india.com/bengali/world/durga-puja-2022-bengalies-durga-puja-celebration-at-high-on-erlangen-in-germany_445025.html?fbclid=IwY2xjawMYlTRleHRuA2FlbQIxMABicmlkETBpblBGeFhQRXY5OUtsM1Q4AR681B0f01HScj8GozXjcSwv1d_dA24xfbLM2ZYZykQmrLB_DyJ9xqfzBpVbCw_aem_gx8fmyO3Nc1FJ-NYx5uw8w,NA,Take appropriate screenshot from URL
11,2022,2,ABP Ananda,Digital,News Article,https://bengali.abplive.com/news/durga-puja-2022-germany-erlangen-puja-preparation-is-on-full-swing-923996?fbclid=IwY2xjawMYlalleHRuA2FlbQIxMABicmlkETBpblBGeFhQRXY5OUtsM1Q4AR5I7UU41Z7pMqik2EgKrmTJvcLBvPKwrwNAC0eUQkjz_TuBC0iK6cZjcyE-SQ_aem_l-p-3RrsGsGBY5LksBzH2g,NA,#11
12,2022,3,TV9 Bangla,Digital,News Article,https://tv9bangla.com/world/durga-puja-in-erlangen-germany-organised-by-bengali-living-there-au64-659737.html?fbclid=IwY2xjawMYlelleHRuA2FlbQIxMABicmlkETBpblBGeFhQRXY5OUtsM1Q4AR6HbKyNP1Bq8oZRxPUIzyW9gEoS3tHNAhDR3--ukKUl7-UeOS7fsDpp-IVH4w_aem_FvKynFSNiujD7jG5Sv03cg,NA,#12
13,2022,4,Hindustan Times,Digital,Pujo Coverage on TV,https://bangla.hindustantimes.com/.../durga-puja-2022...,NA,Take appropriate screenshot from URL
